feature_name,coef
FIRST_CAREUNIT_value:MICU,-0.24426690462965625
FIRST_CAREUNIT_value:CCU,-0.18329276691261398
timestep@1 227088_value_ED,-0.17733621513762046
FIRST_WARDID_value:WARDID=52,-0.15889795945089558
timestep@2 226732: None_value_1.0,-0.14809481977848257
"AGE_value:(81.004, 91.4]",-0.14543056349273192
timestep@2 224080_value_30 Degrees,-0.13276848764122756
timestep@1 226732: None_value_1.0,-0.11956524597415556
timestep@3 HR_mask,-0.11850914666729016
timestep@3 220048: SR (Sinus Rhythm)_value_1.0,-0.11771000704268444
timestep@2 226452_value_1.0,-0.11035270990664775
ADMISSION_LOCATION_value:CLINIC REFERRAL/PREMATURE,-0.10859239896456936
"timestep@1 226559_value_(80.0, 125.0]",-0.10789998436010703
"HADM_to_ICU_time_value:(1.28, 32.443]",-0.107230200557969
timestep@1 224015_value_Voids,-0.1048021457657846
timestep@3 226452_value_1.0,-0.10434551190086858
timestep@2 225072_value_Other,-0.10401433930720065
"timestep@3 225158_Rate_value_(0.167, 0.283]",-0.10336122296813084
timestep@1 70091_value_1.0,-0.10212346741281653
"timestep@3 SpO2_max_(98.0, 100.0]",-0.09626856309782561
"AGE_value:(18.032999999999998, 50.292]",-0.09530212247012548
"timestep@1 Temperature_value_(37.222, 525.556]",-0.09522601214526488
"timestep@3 225158_Rate_value_(2.083, 300.942]",-0.09257641494244231
timestep@2 224086_value_Tolerated Well,-0.09190880642404346
timestep@2 224640_value_MICU,-0.09138836847737555
"timestep@2 SysBP_min_(112.0, 125.0]",-0.09047944969854936
timestep@0 227088_value_Procedure room/Clinic,-0.08993511035386978
"timestep@2 226559_value_(240.0, 4000.0]",-0.0894098819747974
"timestep@2 RR_max_(15.0, 18.0]",-0.08933728849249072
ETHNICITY_value:BLACK/AFRICAN AMERICAN,-0.08857094623943966
timestep@3 224003: Soft_value_1.0,-0.08848592402963208
"timestep@2 SysBP_max_(104.0, 116.0]",-0.08829414516677814
timestep@2 226104_value_Arouse to Voice,-0.08683470929404727
timestep@2 223258_value_1.0,-0.0866705521193074
timestep@2 225975_value_1.0,-0.08650278057889883
timestep@3 223985_value_Regular,-0.08649985907286291
timestep@3 RR_mask,-0.08624251300808251
"timestep@2 50893_value_(9.0, 16.4]",-0.08595534569730995
timestep@3 223258_value_1.0,-0.08573405463914806
timestep@1 224640_value_MICU,-0.08399530726690667
timestep@0 223992_value_Productive,-0.08379027907673513
timestep@1 224640_value_MICU/SICU,-0.08323995769659487
"timestep@2 51221_value_(32.8, 36.8]",-0.08320608750642416
timestep@0 223987_value_Crackles,-0.08259994979149962
"timestep@3 RR_value_(-0.001, 15.0]",-0.08242010490064673
"timestep@1 225126_value_(-0.001, 1.0]",-0.08200482140810068
"timestep@3 RR_min_(14.0, 17.0]",-0.08184957185539285
timestep@1 226364_value_1.0,-0.08112562883897906
timestep@0 224848_value_1.0,-0.08022006063121197
timestep@3 224086_value_Tolerated Well,-0.0798106792126041
timestep@1 223904_value_Intact,-0.07918219689802904
"timestep@3 SysBP_value_(114.0, 126.0]",-0.07788360796845087
"timestep@3 DiaBP_min_(59.0, 67.0]",-0.07784838219988363
timestep@2 224093_value_Right Side,-0.07757463083184057
timestep@3 223967_value_R Femoral,-0.07589454410996294
timestep@2 224082: Right Side_value_1.0,-0.07588758872584075
timestep@2 223988: Clear_value_1.0,-0.07572597311821427
"timestep@3 Weight_value_(-0.001, 61.6]",-0.07563133603479452
"timestep@3 SysBP_max_(-0.001, 104.0]",-0.07545990712113627
timestep@3 220048_value_1.0,-0.07511240685638658
timestep@2 223986_value_Clear,-0.07483073565877757
timestep@0 227700: Bed locked in low position_value_1.0,-0.07464686143203676
timestep@2 223258_InputRoute: Continuous Med_value_1.0,-0.0745522885815929
"timestep@1 50970_value_(3.7, 4.4]",-0.07452697946368211
"timestep@0 Height_value_(178.0, 429.0]",-0.07440495215904408
"timestep@2 226560_value_(-0.001, 150.0]",-0.07417987817035934
timestep@0 223782_value_1.0,-0.07365130689941723
"timestep@3 51221_value_(32.8, 36.8]",-0.07343249496046049
timestep@1 223991_value_1.0,-0.07332944931351078
"timestep@2 Weight_value_(82.0, 95.9]",-0.07274207762654962
"timestep@0 225755_value_(-0.769, 0.02]",-0.07261980757922927
timestep@2 225097: Not assessed_value_1.0,-0.07237378675426051
timestep@3 224059_value_No Apparent Problem,-0.07210359222543389
timestep@0 220048: AF (Atrial Fibrillation)_value_1.0,-0.07178213455063352
timestep@0 227700_value_1.0,-0.0716932268851411
timestep@1 228096_value_ 0  Alert and calm,-0.07139280849152403
"timestep@2 50868_value_(3.999, 12.0]",-0.07129729876418461
"timestep@2 226559_value_(40.0, 80.0]",-0.07075071425335597
timestep@1 224731_value_Intact,-0.07065363138378808
"timestep@0 RR_min_(23.0, 91.0]",-0.0704165857523824
timestep@0 224088: None_value_1.0,-0.07024715431634408
timestep@0 224041_value_None,-0.0702377060661259
timestep@3 224031: None_value_1.0,-0.06988914206958544
"timestep@3 HR_mean_(-0.001, 70.0]",-0.06987284773373069
timestep@3 223898_value_Oriented x3,-0.06979797105293445
"timestep@3 SysBP_min_(112.0, 125.0]",-0.06975389088542276
timestep@1 224004_value_Present,-0.06946005690729909
timestep@3 70012_value_1.0,-0.06928083185525753
timestep@1 224088_value_1.0,-0.0691442732087879
timestep@0 226364_value_1.0,-0.06913867104412887
timestep@2 220739_value_Spontaneously,-0.06913400061566059
timestep@2 227088_value_ED,-0.06909389075027468
"timestep@3 HR_max_(82.0, 92.0]",-0.06881275073158225
timestep@3 224003_value_1.0,-0.06870469174661487
timestep@0 223792: Repositioned_value_1.0,-0.06848214146384214
timestep@3 223258_InputRoute: Continuous Med_value_1.0,-0.06828525370154923
timestep@2 224851: Dry and intact_value_1.0,-0.06828080192380052
"timestep@0 50983_value_(141.0, 180.0]",-0.0681906754193415
"timestep@2 Weight_value_(-0.001, 61.6]",-0.06798990092434079
"timestep@1 228396_value_Year, month, & day",-0.06789963253595528
"timestep@2 RR_value_(17.0, 20.0]",-0.06784304589325106
timestep@0 225231: WNL_value_1.0,-0.06783346111353021
timestep@0 224076: None_value_1.0,-0.06765881160071896
timestep@0 226361_value_1.0,-0.06758067521174939
"timestep@1 50931_value_(180.0, 2440.0]",-0.0675220437221944
timestep@3 224023_value_1.0,-0.06747495379412136
"timestep@2 HR_min_(90.0, 103.0]",-0.06746091967926805
"timestep@3 225133_value_(-0.001, 1.0]",-0.06722130147684427
"timestep@1 227688_value_(-0.001, 1.0]",-0.0669829276524205
"timestep@2 50983_value_(141.0, 180.0]",-0.06682167611163922
timestep@1 223943: Doppler_value_1.0,-0.06672788856571882
timestep@3 224037_value_Not applicable ,-0.06639901423898212
"timestep@0 RR_max_(18.0, 21.0]",-0.06608561293570321
"timestep@0 50970_value_(3.7, 4.4]",-0.06585291207223536
timestep@1 223758_value_DNR / DNI,-0.06580744118625606
"timestep@2 DiaBP_value_(52.0, 60.0]",-0.06559481854851437
timestep@0 226732: None_value_1.0,-0.06557392341743731
"timestep@0 224161_value_(4.999, 30.0]",-0.065497860342727
timestep@0 224003: Soft_value_1.0,-0.06526570799332254
ETHNICITY_value:OTHER,-0.06474233235482879
"timestep@1 226361_Amount_value_(2500.0, 4000.0]",-0.06452609378289068
timestep@1 224058_value_Adequate,-0.06442638516466977
timestep@3 225097: Steady_value_1.0,-0.06408578901486285
timestep@1 223991: Strong_value_1.0,-0.06407006689216507
timestep@0 224004_value_Hypoactive,-0.06404089097788752
