feature_name,coef
FIRST_CAREUNIT_value:MICU,-0.21260160666394107
"AGE_value:(18.069, 49.368]",-0.17214349809792698
FIRST_WARDID_value:WARDID=52,-0.12889045027481516
"timestep@3 SysBP_min_(141.0, 1114.0]",-0.12727808887329461
timestep@1 227088_value_ED,-0.096812854192634
timestep@3 HR_mask,-0.09650355304020256
"HADM_to_ICU_time_value:(1.28, 31.002]",-0.09145688917705411
timestep@3 220048: SR (Sinus Rhythm)_value_1.0,-0.09133653331924908
ETHNICITY_value:BLACK/AFRICAN AMERICAN,-0.08961811847886655
timestep@1 223991: Strong_value_1.0,-0.08315234504644581
timestep@3 RR_mask,-0.08063733823601676
timestep@3 220949_InputRoute: Continuous IV_value_1.0,-0.07834301132052257
timestep@2 224086_value_Tolerated Well,-0.07762443463449797
"timestep@3 SysBP_max_(131.0, 146.0]",-0.07739168131109607
timestep@1 224086_value_Tolerated Well,-0.07451807576021487
"timestep@3 DiaBP_max_(71.0, 81.0]",-0.07121037277095589
timestep@1 224015_value_Voids,-0.0709043484410263
"timestep@2 225184_value_(-0.001, 1.0]",-0.07045974384498137
timestep@3 SpO2_mask,-0.0704438404324459
"timestep@3 SysBP_mean_(143.0, 63613.995]",-0.06933189654862014
"timestep@1 226559_value_(80.0, 125.0]",-0.06833079952414961
"timestep@3 SysBP_value_(143.0, 1114.0]",-0.06806027513846684
ADMISSION_LOCATION_value:CLINIC REFERRAL/PREMATURE,-0.06805531368980816
timestep@3 223985_value_Regular,-0.06533596425618339
RELIGION_value:NOT SPECIFIED,-0.06514801086550816
"timestep@2 HR_min_(-0.001, 69.0]",-0.064377363529638
timestep@0 225811: Hypertension_value_1.0,-0.06382506401682986
"timestep@3 SysBP_mean_(128.0, 143.0]",-0.063792583438863
"timestep@2 DiaBP_max_(63.0, 71.0]",-0.0629817975041741
"timestep@3 SysBP_min_(114.0, 126.0]",-0.06291696639830485
timestep@3 224027_value_Warm,-0.06209709735816816
timestep@3 223990_value_Normal,-0.06116891654163646
"timestep@2 SpO2_max_(97.0, 99.0]",-0.06070770090041416
timestep@2 226732_value_1.0,-0.06030533048877645
"timestep@2 223835_value_(-0.001, 40.0]",-0.059669289621644445
"timestep@3 RR_max_(15.0, 18.0]",-0.05962912680728557
timestep@0 224055_value_Rarely Moist,-0.05882187443224273
"timestep@3 225943_Rate_value_(0.662, 9.617]",-0.05835996690665912
timestep@2 226732: Endotracheal tube_value_1.0,-0.0583051285826119
"timestep@3 SysBP_value_(128.0, 143.0]",-0.05800135676466407
timestep@3 224080_value_45 Degrees,-0.057440011036226105
"timestep@3 SysBP_value_(115.0, 128.0]",-0.05729818225837368
"timestep@2 SpO2_min_(98.0, 100.0]",-0.05724933758382219
"timestep@2 SysBP_min_(126.0, 141.0]",-0.05711097204222484
"timestep@3 RR_value_(-0.001, 14.0]",-0.056960793443527474
"timestep@2 SpO2_mean_(98.5, 100.0]",-0.05677098996749514
timestep@1 224004_value_Present,-0.05599622395300753
timestep@2 224015_value_Voids,-0.055756725437682286
timestep@1 225072_value_Other,-0.05547433060117372
"timestep@3 HR_value_(70.0, 80.0]",-0.05544268994155403
"timestep@0 Weight_value_(-0.001, 62.0]",-0.054805835060222026
"timestep@3 SpO2_mean_(95.0, 97.0]",-0.05423858340680459
"timestep@2 SysBP_max_(146.0, 127105.99]",-0.05414620852349402
timestep@2 224080_value_30 Degrees,-0.05386613571461445
timestep@2 223988: Clear_value_1.0,-0.052652911679613036
"timestep@3 DiaBP_mean_(61.0, 69.0]",-0.05253604302346141
timestep@2 224003: Soft_value_1.0,-0.052173236676342945
timestep@3 223258_value_1.0,-0.051779443968937765
timestep@2 70091_value_1.0,-0.05170126835275745
timestep@2 226104_value_Arouse to Voice,-0.05159597327530667
"timestep@3 225187_value_(-0.001, 1.0]",-0.05143527506821578
